id,selection_reasons,problem_type,question_length,answer_sign,answer_magnitude
train-015350,condition_omission_risk,arithmetic_word_problem,308,positive,d3
train-015369,large_integer_answer,arithmetic_word_problem,163,positive,d6_plus
train-015392,long_word_problem,algebra,646,positive,d3
train-015429,large_integer_answer,arithmetic_word_problem,100,positive,d6_plus
train-015471,geometry,geometry,98,zero,d1
train-015506,long_word_problem,geometry,785,positive,d4_5
train-015531,large_integer_answer,arithmetic_word_problem,167,positive,d6_plus
train-015552,large_integer_answer,geometry,286,positive,d6_plus
train-015585,large_integer_answer,arithmetic_word_problem,29,positive,d6_plus
train-015594,large_integer_answer,algebra,366,positive,d6_plus
train-015640,geometry,geometry,317,positive,d4_5
train-015677,number_theory,geometry,337,positive,d2
train-015687,long_word_problem,combinatorics_probability,690,positive,d2
train-015768,large_integer_answer,arithmetic_word_problem,89,positive,d6_plus
train-015779,long_word_problem,arithmetic_word_problem,632,positive,d3
train-015789,number_theory,geometry,110,positive,d2
train-015829,large_integer_answer,algebra,131,positive,d6_plus
train-015882,combinatorics_probability,combinatorics_probability,176,positive,d2
train-015890,combinatorics_probability,combinatorics_probability,136,positive,d3
train-015977,number_theory,number_theory,134,positive,d1
train-015990,combinatorics_probability,combinatorics_probability,250,positive,d2
train-016025,long_word_problem,arithmetic_word_problem,625,positive,d2
train-016065,large_integer_answer|long_word_problem,algebra,706,positive,d6_plus
train-016075,condition_omission_risk|number_theory,number_theory,218,positive,d2
train-016077,geometry,geometry,274,positive,d3
train-016228,condition_omission_risk,algebra,218,positive,d3
train-016245,long_word_problem,arithmetic_word_problem,615,positive,d4_5
train-016269,combinatorics_probability|long_word_problem,geometry,636,positive,d1
train-016324,large_integer_answer,arithmetic_word_problem,326,positive,d6_plus
train-016361,number_theory,number_theory,221,positive,d4_5
train-016362,number_theory,number_theory,601,positive,d2
train-016375,geometry|number_theory,geometry,462,positive,d2
train-016462,long_word_problem,arithmetic_word_problem,616,positive,d2
train-016468,large_integer_answer,arithmetic_word_problem,501,positive,d6_plus
train-016474,combinatorics_probability,combinatorics_probability,1174,positive,d3
train-016500,condition_omission_risk,algebra,742,positive,d4_5
train-016555,geometry,geometry,157,positive,d2
train-016567,geometry,geometry,107,positive,d4_5
train-016581,number_theory,number_theory,397,positive,d4_5
train-016600,large_integer_answer,geometry,296,positive,d6_plus
train-016626,long_word_problem,arithmetic_word_problem,673,positive,d3
train-016640,geometry,geometry,234,positive,d4_5
train-016653,large_integer_answer,arithmetic_word_problem,78,positive,d6_plus
train-016660,condition_omission_risk,arithmetic_word_problem,458,positive,d3
train-016668,combinatorics_probability|long_word_problem,combinatorics_probability,643,positive,d3
train-016689,number_theory,number_theory,114,positive,d2
train-016696,long_word_problem,arithmetic_word_problem,688,positive,d2
train-016736,long_word_problem,arithmetic_word_problem,622,positive,d2
train-016786,combinatorics_probability|number_theory,geometry,397,positive,d4_5
train-016789,geometry,geometry,129,positive,d2
train-016805,geometry,geometry,424,positive,d2
train-016827,condition_omission_risk,algebra,187,positive,d3
train-016866,geometry,geometry,97,positive,d2
train-016868,number_theory,number_theory,138,positive,d3
train-016910,condition_omission_risk,arithmetic_word_problem,550,positive,d2
train-016931,combinatorics_probability,combinatorics_probability,180,positive,d2
train-016940,large_integer_answer,arithmetic_word_problem,174,positive,d6_plus
train-016943,large_integer_answer,arithmetic_word_problem,270,positive,d6_plus
train-016989,long_word_problem,geometry,622,positive,d2
train-016996,large_integer_answer,arithmetic_word_problem,161,positive,d6_plus
